dbn,school_name,boro,phone_number,school_email,grade_span_min,grade_span_max,bus,subway,primary_address_line_1,city,state_code,zip,website,total_students,school_type,overview_paragraph,program_highlights,language_classes,extracurricular_activities,addtl_info1,addtl_info2,start_time,end_time,ell_programs,priority01,priority02,priority03,priority04,priority05,priority06,priority07,priority08,priority09,priority10
12X388,Pan American International High School at Monroe,Bronx,7189917238,bbyeschools.nyc.gov,9,12,"Bx11, Bx27, Bx36, Bx4, Bx4A, Q44",6 to Elder Ave,1300 BOYNTON AVENUE, BRONX,NY,10472,httpschools.nyc.govSchoolPortals12X388,428,"Performance Assessment School, School for New Arrivals","We are a small learning community of recentlyimmigrated English language learners. Our primary focus is on English language development, while providing opportunities to enrich Spanish language skills. Math, science, social studies, technology, arts, portfolio assessment, social service and internships are elements of the program that helps students develop their English language proficiency, gain realworld experiences and enrich their native language capabilities. Our students graduate with the skills necessary for success in college and beyond.","Small Learning Clusters, Collaborative Group Work and Projectbased Instruction, Internships, Advisory, Technology",Spanish,"Homework Help, OnetoOne Tutoring, Student Government, Drama, Cross Stitching, Reading, Saturday Academy",,StudentParent Summer Orientation Academic Portfolio required for graduation Internship Opportunities,83000.0,53000.0,ESL,Eligibility Open only to New York City residents living in the United States four years or fewer whose home language is Spanish and are English Language Learners per New York City Department of Education guidelines scoring at the Beginner or Intermediate level on the NYSESLAT or LABR.,,,,,,,,,
12X521,The Metropolitan Soundview High School,Bronx,7188608240,mlanaghanschools.nyc.gov,9,12,"Bx11, Bx27, Bx36, Bx4, Bx4A, Q44",6 to Elder Ave,1300 BOYNTON AVENUE, BRONX,NY,10472,httpschools.nyc.govSchoolPortals12X521,416,,"The Metropolitan Soundview High School is a replication of The Metropolitan High School located in the South Bronx. Our mission is to educate and cultivate students who will excel academically, demonstrate a sense of civic responsibility and manifest respect for their community, their natural environment and the people they encounter from all walks of life. By taking a firstrate academic curriculum, adding community service and a demanding physical fitness program, the school nurtures wellrounded young adults. We will prepare our graduates to be lifelong learners and productive citizens.","Double literacy and mathematics classes, Collins Writing, Culture of Respect and Responsibility, Advisories, Music, Art, College Prep Class, Afterschool Tutoring, CUNY College Now at Lehman College","Italian, Spanish","Flag Football, Art, Drama, Chess, HipHop Dance, Bachata Dance, Leadership, New York Cares Service Program, New York Commission on Human Rights Peer Mediator Program, Newsletter, Sponsors for Educational Opportunity",iLearnNYC Program for expanded online coursework and selfpaced learning,"Community Service Requirement 20 hours per year Uniform Required Polo shirt with school logo, sweater or sweatshirt with school logo, DickiesDockerstype navy blue, black, uniform pants without cargo pockets, solid black shoessneakersboots On Fridays, school is from 830 AM to 1230 PM",83000.0,34000.0,ESL,Priority to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Bronx students or residents,Then to New York City residents,,,,,,
12X692,Monroe Academy for Visual Arts  Design,Bronx,7188608160,12X692schools.nyc.gov,9,12,"Bx11, Bx27, Bx36, Bx4, Bx4A, Q44",6 to Elder Ave,1300 BOYNTON AVENUE, BRONX,NY,10472,httpschools.nyc.govSchoolPortals12X692,445,,The Monroe Academy for Visual Arts  Design MAVAD is a comprehensive high school that enriches its curricula with an emphasis in the visual arts. Our goals are to provide students with the best educational opportunities in all major content areas and to help students develop their leadership potential. We offer a wide range of school and community activities.,"Stage Doors Program of Theater Development Fund TDF, Play Rugby, PerScholas Computer Technician Training, iLuminate Dance Technology, SAT Prep Classes, Urban Health Medical Clinic",Spanish,"HIVAIDS Peer Education Program, Citywide and National Writing and Art Contests, Trips, Internships, Kaplan SAT Prep Class, Montefiore Medical Center Project, Peer Leadership Class, Performing Arts, Poetry Slams, Readers are Leaders, SchoolCommunity Service Projects, Student Government",,,83000.0,30000.0,"ESL, Transitional Bilingual Education Spanish",Priority to Bronx students or residents,Then to New York City residents,,,,,,,,
02M615,Chelsea Career and Technical Education High School,Manhattan,2129251080,02m615schools.nyc.gov,9,12,"BxM18, M20, M21, M5, X1, X10, X10B, X28, X7","B, D, F, M to BroadwayLafayette St  C, E to Spring St  1, 6, A, J, N, Q, R, Z to Canal St  N, R to Prince St",131 AVENUE OF THE AMERICAS, MANHATTAN,NY,10013,httpschools.nyc.govSchoolPortals02M615,439,CTE School,Chelsea Career and Technical Education High School and its two small learning communities offer a strong academic program in addition to a challenging and cuttingedge CTE curriculum. The campus holds two Academies SoHo Communication Arts and Chelsea Technical. Each of the programs has stateoftheart computer labs.,"Students may receive CTE endorsement in the following areas Computer Installation and Repair, Computer Systems Networking, Graphic Design Cisco Certification, Adobe Creative Suite, CTech Certification, A Certification, SMART Boards",Spanish,"Chelsea SAT, Computer Repair, Dance, Drama, Electrical Engineers, Math, Mentoring, Music, National Honor Society, AP Prep, SAT Prep, Student Government, Yearbook",iLearnNYC Program for expanded online coursework and selfpaced learning,Internship Opportunties,83000.0,40000.0,ESL,Priority to Manhattan students or residents,Then to New York City residents,,,,,,,,
02M376,NYC iSchool,Manhattan,9172377300,admissionsmail.nycischool.org,9,12,"BxM18, M20, M21, M5, X1, X10, X10B, X28, X7","B, D, F, M to BroadwayLafayette St  C, E to Spring St  1, 6, A, J, N, Q, R, Z to Canal St  N, R to Prince St",131 AVENUE OF THE AMERICAS, MANHATTAN,NY,10013,www.nycischool.org,442,,"NYC iSchool is dedicated to equipping students with the skills necessary for success and leadership in the 21st century. The iSchool program is designed to offer students opportunities to engage in meaningful work that has relevance to them and the world, with the choice and responsibility to determine their high school experience, and unique structures to support their development.","Realworld Problembased Learning, Advisory, Online Courses, Senior Projects, Teaching Assistant Program, Field Experience Individualized schedules based on student choice","Chinese Mandarin, French, German, Latin, Spanish","Yearbook, iCare Community Service, Debate Team, Rock Band, Jazz Band, iNews, Green Roof Team, Model UN, Creative Writing, Black Student Union, Coding Club, Cheerleading, Finance Club, Crochet Club Additional clubs will be formed based on student interest",iLearnNYC Program for expanded online coursework and selfpaced learning,,90000.0,40000.0,ESL,Open to New York City residents,,,,,,,,,
09X260,Bronx Center for Science and Mathematics,Bronx,7189927089,etom2schools.nyc.gov,9,12,"Bx11, Bx15, Bx17, Bx21, Bx35, Bx41",,1363 FULTON AVENUE, BRONX,NY,10456,httpschools.nyc.govSchoolPortals09X260,457,,"The Bronx Center for Science and Mathematics offers a challenging academic program with a concentration in science and mathematics supported by the study of humanities and the integration of technology across the curriculum. Our school meets the emotional, intellectual, and social needs of all students through a strategic support structure consisting of faculty, students, parents, and the community. We prepare our students for the world of work andor college through collaboration with our partners. The foundation of our school rests on Seven Core Virtues that prepare our students for citizenship Respect, Integrity, Honor, Excellence, Commitment, Perseverance, and Service.","Advisory, Guidance and College Preparation, Mentoring, Leadership, PSAT and SAT Preparation, Evening School and Summer Institute for Credit Recovery, Summer Enrichment at universities and colleges",Spanish,"buildOn, Costume Design, Drama, Dance, Set Design, Technology Homework Help, Peer Tutoring, National Honor SocietyArista, School Leadership and School Spirit Teams, Science Tutoring, Soccer, Softball, Student Government, T Yearbook, Yoga",,"Uniform Required White dress shirt and tie, gray pantsslacksskirt, navy blazer with logo, shoes Student and Parent Summer Orientation Summer Bridge Program for all grades Comprehensive Afterschool Program",73000.0,32500.0,ESL,Priority to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Bronx students or residents,Then to New York City residents,,,,,,
09X250,Eximius College Preparatory Academy A College Board School,Bronx,7189927154,JDaly7schools.nyc.gov,9,12,"Bx11, Bx15, Bx17, Bx21, Bx35, Bx41",,1363 FULTON AVENUE, BRONX,NY,10456,httpschools.nyc.govSchoolPortals09X250,449,,"Eximius College Preparatory Academy is dedicated to developing highachieving students of good character who use academic, technological and social skills to inspire others and contribute to their community. Our values are academic excellence, community citizenship, selfdetermination, compassion, integrity, reflective living, and unity of being. Students must aspire to personal excellence to be successful and we help them master the challenges of a college preparatory curriculum, guide them through the college entrance process, and prepare them for success. Our coursework is designed to give students the knowledge, skills, and strategies to pass the Regents, excel on the SAT, and succeed in college and life.","Hayden Foundation Summer Bridge Program for incoming ninth graders At Home In CollegeCUNY Program Partnership with College for Every Student CFES Foundation which provides Pathways to College, Mentoring and Leadership Through Service opportunities Kaplan SAT Test Preparation Program Participation in Lehman College_s CUNY College Now program Auxiliary partnerships with The University of Vermont, SUNY Albany, SUNY New Paltz, Sullivan County CC, Roger Williams University Regents Preparation Academy",Spanish,"National Honor Society  Spanish National Honor Society, Student Government, Peer Mentoring Program, School Leadership Team, Academic Enrichment Program, Small Group Tutoring, Test Preparation, Yearbook, Keyboard Music, Visual Arts, Theater Arts, Chorus, Dance, Cheerleading, Photography, Art, Technology, Glee, DramaTheatre",,"Uniform Required Short or longsleeved collared white buttondown shirt with school logo, khaki pantsmaroon plaid skirt or vneck sweater with school logo, Eximius tie, black shoes. Boys wear black socks, girls wear maroon socks or stockings. All items may be purchased at Flynn and OHara or Kids Place",80000.0,32200.0,ESL,Priority to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Bronx students or residents,Then to New York City residents,,,,,,
27Q308,Robert H. Goddard High School of Communication Arts and Technology,Queens,7188488357,,9,12,"Q11, Q21, Q7, QM15",,13830 LAFAYETTE STREET, QUEENS,NY,11417,www.goddardhs308.org,602,,"The Robert H. Goddard High School provides students with a challenging and enriching academic program that will prepare them to be successful in high school and college. Given the dynamic size of our school community, the teachers and staff have the opportunity to work collaboratively with all students. Our emphasis on the mastery of reading, writing, critical thinking, and creative artistic expression gives our students the skills they need to achieve their future goals. Classrooms are equipped with a variety of dynamic technology MacBook Pros, Photoshop, Digital Elmo Projectors, Digital Assessment Clickers, and Online Classes to fully immerse and engage students in the content they are learning. Our digital art studio and STEM Science Lab also allows students to generate powerfully expressive and compelling projects. Along with our rich academic programs we also offer students numerous opportunities to grow socially by participating in the following events Talent Show, Art Gallery Exhibits, School Theater Productions, MultiCultural Expos, College Panel Discussions, Fall Festival, College Trips, Visits to Washington D.C., the United Nations and participation in School Spirit Week, and Field Day.","Art Portfolio, Studio Art, Digital Art, Journalism, Drama, Dance, Creative Writing, Critical Reading, Advanced Public Speaking, History and Film, Music Theory, Marine Biology, Forensics, Greek Mythology, World Languages, Yearbook",Spanish,"Art Club, Business Art, Robotics, Creative Writing, Drama, Yearbook, Debate, ECO Club, National Honor Society, New York Academy of Medicine, Cheerleading, Student Government, Latin American Student Organization, Soccer, Baseball, Volleyball, Handball, Chess Club",iLearnNYC Program for expanded online coursework and selfpaced learning,Community Service offered StudentParent Summer Orientation,72500.0,21500.0,ESL,Priority to New York City residents who attend an information session,Then to New York City residents,,,,,,,,
16K498,Brooklyn High School for Law and Technology,Brooklyn,7189191256,MPRAYORSCHOOLS.NYC.GOV,9,12,"B20, B26, B38, B46, B47, B52, B7, Q24","J, Z to Gates Ave",1396 BROADWAY, BROOKLYN,NY,11221,www.bklawtech.com,596,,"The mission of Brooklyn High School for Law and Technology is to intellectually prepare, morally inspire, and socially motivate every student to become a leader in this vastly changing society. Our curriculum in Biomedical Science, Engineering, Software Engineering, and Law are blueprints for all students to succeed in any competitive college program. At Brooklyn High School for Law and Technology, the overall goal is to cultivate exceptional leaders prepared to serve and lead globally.","Access to Law and Technology Programs Youth Court, ESI, Civil Rights and Patent Law Technology Program provides experiences in Web Design, Computer Programming, iCareers, Online Courses Volunteers mentor our scholars through Community Service Internships Multicultural Literature, Conflict ResolutionPeer Mediation, Debate Team, College and Career Awareness, InHouse TelevisionMusicProduction Studio, College Now, Calculus",Spanish,"Expanded Success Initiative ESI, AfterSchool Program, AfterSchool Tutorials, STEMRobotics, Chess, College and Career FairsTours, Computer, Culinary Institute, Creative Writing, Dance, Debate Team, DJ, _Give, Receive, Assistance, Confidence, and Excellence_ GRACE Program, Green House, Homework Help, Math, Music, Music Production, Saturday Academy, School Newspaper, School Website Management, Science, Step, Student Government, Teacher Assistants TAs, Television, Test Preparation, Tutoring, TVVideo Production, Video Game, Yearbook, YLGC  Employment working in the school, Youth Court",iLearnNYC Program for expanded online coursework and selfpaced learning,All incoming 9th graders attend our Young Scholars College Prep Program Internship Opportunities Community Service Opportunities,80000.0,30000.0,ESL,Open to New York City residents,,,,,,,,,
30Q450,Long Island City High School,Queens,7185457095,licinfoschools.nyc.gov,9,12,"Q102, Q103, Q104, Q18, Q19, Q66, Q69","N, Q to Broadway",1430 BROADWAY, QUEENS,NY,11106,httpschools.nyc.govSchoolPortals30Q450,2123,,"Our academically and aesthetically enriched programs offer superb preparation for college, career and life, in a nurturing environment. Students benefit from the personalization of a small high school while also taking advantage of the wealth of offerings that a large high school can provide. Every ninth grade student is enrolled in an additional English class that focuses on argumentative writing and nonfiction readings.","Students may receive CTE endorsement in Culinary Arts Eight Smaller Learning Communities Culinary Restaurant  Hotel Management Future Educators Sports Medicine Broadway Productions Community  Culture Languages Hospitality and Tourism Media Arts  Technology Advancement via Individual Determination AVID, Leadership, Swimming and Physical Education Selections, Humanities and the Arts Education Art, Music, Computers, Theater, Technology CUNY College Now through LaGuardia Community College, College Board Advancement Program, Gaining Early Awareness and Readiness for Undergraduate Programs GEAR UP, Global Kids, Robotics, Viacom Mentorship Program","Chinese Mandarin, French, Greek, Italian, Spanish","Junior Reserve Officers Training Corps JROTC, ASPIRA, Dance, Fall and Spring Drama and Musical Productions, Mu Alpha Theta, Multicultural Festival, National Honor Society, SING, Spirit Squad, Digital Media Program, Winter and Spring Concerts More than twenty Multicultural and Interdisciplinary Clubs","Community School Offers personalized learning opportunities during and after school, social services, and family engagement programs iLearnNYC Program for expanded online coursework and selfpaced learning Student Summer Orientation",,82900.0,35000.0,"ESL, Transitional Bilingual Education Spanish",Open to New York City residents,For Program Q29R only Priority given to New York City residents who are English Language Learners,For Q29S only a. Priority to students whose have been in a Dual Language Spanish middle school program b. Then to students who have been in a Transitional Bilingual Education Spanish middle school program c. Then to New York City residents,For Zoned Program only Guaranteed to students who apply and live in the zoned area,,,,,,
29Q283,Preparatory Academy for Writers A College Board School,Queens,7189498405,MSingh8schools.nyc.gov,6,12,"Q3, Q77, Q85",,14310 SPRINGFIELD BOULEVARD, QUEENS,NY,11413,www.preparatoryacademyforwriters.com,552,,"Preparatory Academy for Writers A College Board School is a small school committed to combining a challenging curriculum with a focus on writing and publishing. Students learn to think critically, communicate effectively, and be open to a wide range of ideas and experiences. Students in all programs will write for publication, both in print and online forums.","Individualized College, Academic and Career Planning Advisory, Focus on developing strong writing skills","French, Spanish","Journalism, Dance, Drama, Intramural Athletics, Literary Magazine, Student Government, Student Leadership",,"Dress Code Required white or forest green shirt, khaki or black pantsskirtshorts Community Service Program",80000.0,30500.0,ESL,Priority to continuing 8th graders,Then to New York City residents who attend an information session,Then to New York City residents,,,,,,,
29Q272,George Washington Carver High School for the Sciences,Queens,7185256439,jsutton2schools.nyc.gov,9,12,"Q3, Q77, Q85",,14310 SPRINGFIELD BOULEVARD, QUEENS,NY,11413,httpschools.nyc.govSchoolPortals29Q272,509,,"The mission of our school is to provide students with an indepth, wellrounded education that emphasizes science and mathematics. Classroom teaching and learning are complemented with authentic, inquirybased research experiences. The combination of research and teaching experience prepare students to become critical thinkers and problem solvers to pursue careers in biological sciences, physical sciences, mathematics, engineering and veterinary sciences. The physical, emotional and social wellbeing of our student body is nurtured through advisories, community service, and a small and personalized learning community.","Honor Classes, Gateway Institute for PreCollege Education Ninth  Tenth Grade Honors program in partnership with the City College of New York CCNY, participation in competitive research, academic enrichment programs, internships Science Research, Animal Husbandry, Genetics, Parasitology, Anatomy, Physiology, Advanced Laboratory Techniques and Applications",Spanish,"Carver Student Council, Culture, Extended Day, National Honor Society, Newspaper, Peer Mentorship Program, Peer Tutoring, PM School, Science, Senior Council, Young Men_s Leadership Program, Young Women_s Leadership Program",iLearnNYC Program for expanded online coursework and selfpaced learning,"Dress Code Required Black or orange polodress shirtblouse, black pantsskirt Internship Opportunities",80000.0,31500.0,ESL,Priority to Queens students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Queens students or residents,Then to New York City residents,,,,,,
29Q248,Queens Preparatory Academy,Queens,7187122304,,9,12,"Q3, Q77, Q85",,14310 SPRINGFIELD BOULEVARD, QUEENS,NY,11413,www.qpacademy.org,492,,"Queens Preparatory Academy QPA offers its students a challenging curriculum that emphasizes math and science achievement. Our scholars engage in inquirybased and projectbased learning to develop their critical thinking and problem solving skills as they tackle realworld problems in math, science, and the humanities. Our advisory program assists students in developing the academic, social, and emotional skills that promote academic success.","College Advisory, College Tours, CUNY College Now, Humanities, Financial Literacy, Preengineering, Robotics, Instructional Technology, MOUSE Squad, Digital Photography, Leadership  Mentorship Programs, Peer Mediation, Conflict Resolution, Extended Day, Science, Technology, Engineering, and Mathematics STEM Enrichment Courses, Summer Enrichment Placements, Threeyear Talent Block Visual Arts, School Band, Improv, Senior Internship, Ninth Grade Leadership Development, Career and College Planning",Spanish,"Brotherhood and Sisterhood Leadership Groups, MOUSE Squad, Peer Tutors, Peer Mediators, Community Service, Student Advisory Board, Improv Group, QPA School Band, QPA Cafe Expressions, Chess, Video Editing Club, DJ Club",iLearnNYC Program for expanded online coursework and selfpaced learning,"July Summer Bridge Program for entering ninth graders Extended Day For ninth graders, 1 day per week Leadership Training, 2 days per week mathematics enrichment College Tours Community Service Required Ninth grade project Internship Opportunities",81500.0,23500.0,ESL,Priority to Queens students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Queens students or residents,Then to New York City residents,,,,,,
29Q265,Excelsior Preparatory High School,Queens,7185256507,llucas2schools.nyc.gov,9,12,"Q3, Q77, Q85",,14310 SPRINGFIELD BOULEVARD, QUEENS,NY,11413,www.excelsiorprephs.com,491,,"Excelsior Preparatory High School, a collaborative, college preparatory learning community, offers a challenging academic and multicultural program. We are a small high school that was created in partnership with the Institute for Student Achievement ISA. All students are expected to take four years of math, English, and science in order to be collegeready. We are one of the few small schools affiliated with the Gateway Institute for PreCollege Education program and pride ourselves on being a diverse school community","Extended Day Enrichment classes in Digital Photography, Debate, Drama, African American Literature, Culinary Arts, Advanced Art  Creative Writing Creditearning CUNY College Now classes including Aviation Business, Fine Arts, Genetics, Environmental Biology, Medical Technology, PreCalculus, Sociology  Psychology Advisory classes, Saturday Academy, Onsite health clinic, DMV certification, SAT  Regents prep, STEM research internships, Queens College lab research in Chemistry, Biology  Physics, Annual Science Symposium with Queens College, The Urban Barcode project",Spanish,"AfterSchool Enrichment Classes, Ambassadors Clubs, Brain Bee, Brothers and Sisters Groups, Men of Distinction, Cheerleading, College Fairs and Trips, Conflict Resolution, Digital Photography, Exemplary Women, Gateway Institute, Math, Mayors Youth Leadership Council, National Honor Society, Peer Tutoring, Student Advisory Council, Studio Art, Portfolio Planning",,Extended Day Program required three days a week Internship Opportunities,81000.0,30700.0,ESL,Priority to Queens students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Queens students or residents,Then to New York City residents,,,,,,
08X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",Bronx,7188605110,glaboyschools.nyc.gov,9,12,"Bx5, Bx6",6 to Whitlock Ave,1440 STORY AVENUE, BRONX,NY,10473,httpschools.nyc.govSchoolPortals08X519,307,,"The Felisa Rinc_n de Gautier Institute for Law and Public Policy helps students explore careers in the legal and political fields while strengthening their reading, writing, and public speaking skills. Our academic program encourages depth of study and creates a learning environment committed to community and character development. We have a realworld and culturally relevant curriculum that sponsors collaborative partnerships for learning. Students have the opportunity to become involved in college level classes, mentoring, community service projects, and internships.","Introduction to Law and Public Policy, Civil Law, Constitutional Law, Criminal Law, Urban Politics, The Sonia Sotomayor Honors Instructional Program HIP, Computer Forensics, Forensic Science, Crime Scene Investigation, Journalism, College Courses SUNY Hudson, CUNY Lehman College, Hostos Community College, Partnerships with The Justice Resource Center and Quinn Emanuel Urquhart  Sullivan, LLP College and Career Fairs Small Group Instruction",Spanish,"Student Advisory and Leadership, Student Government, Moot Court and Mock Trial Teams, Negotiations Team, National Honor Society, Tutoring, Regents Preparation, Pageant Committee, Dance, Annual Turkey Bowl",iLearnNYC Program for expanded online coursework and selfpaced learning,"Breakfast Program Community Service Program Extended Day Program Uniform Required Boys White buttondown shirt, black pantstrousers, school tie, black cardigan with school logo, black shoessneakers, sweats with school logo on P.E. days. Girls white buttondown blouse, black pantsslackstrousers or plaid skirt, plaid school tie same as skirt, black cardigan with school logo, black shoessneakers, sweats with school logo on P.E. days. Ties are ordered through the school.",80000.0,22000.0,ESL,Priority to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Bronx students or residents,Then to New York City residents,,,,,,
25Q263,Flushing International High School,Queens,7184632348,levangeschools.nyc.gov,9,12,"Q12, Q13, Q15, Q16, Q17, Q26, Q27, Q28, Q34, Q65, QM3",7 to Flushing  Main St,14480 BARCLAY AVENUE, QUEENS,NY,11355,www.flushinginternational.org,437,"Performance Assessment School, School for New Arrivals",We serve recent immigrants who are both new to the United States and new learners of English. Teachers and students work in teams and teachers know their students well. Teams of teachers integrate interdisciplinary curriculum in which students work on projects that connect ideas from different classes. Both native language and English language development are supported across content areas. Students present graduationlevel portfolio tasks as a requirement for graduation. Our program is designed to help immigrant students succeed in college and the world of work.,"Collaborative group work and interdisciplinary study Small group advisories Elective courses in academic subjects, arts, and technology Internships in technology, arts and communitybased organizations, as well as at local businesses CUNY College Now",Japanese,"Before and afterschool academic support Book, Chess, Drama, Digital VideoPhotography, IT Green Team, Korean Fan Dancing, MultiSquad Multicultural Student Group Regents Prep, SAT Prep, Science Challenge, Creative Writing, Guitar, Dream Team, Student Government",iLearnNYC Program for expanded online coursework and selfpaced learning,Academic Portfolio required Internship Opportunities,84000.0,33000.0,ESL,Eligibility Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Beginner or Intermediate level on the NYSESLAT or LABR.,,,,,,,,,
19K660,W. H. Maxwell Career and Technical Education High School,Brooklyn,7183459100,agarnerschools.nyc.gov,9,12,"B12, B14, B20, B25, B83, Q24, Q56",L to Atlantic Ave  C to Liberty Ave  J to Alabama Ave  Z to Van Siclen Ave,145 PENNSYLVANIA AVENUE, BROOKLYN,NY,11207,www.maxwellhs.org,506,CTE School,"Maxwell_s mission is to ensure that all students are college and careerready, and prepared to become productive citizens in a competitive global economy. The schools vision is to promote our core values of Equity, Excellence, and High Expectations within a positive educational environment, thus creating a professional learning community in which dignity and respect truly reflect the value of each individual. We are a College Bound School.","Students may receive CTE endorsement in Communications Media, Cosmetology and Vision Technology Our themedintegrated curriculum and college preparatory courses can be sequenced with industry certification courses, postsecondary and career placement opportunities, internships, CUNY College Now Students can take either the National Occupational Opportunity Competency Testing Certification Exam or the National Health Career Association Certification Exam. Students are expected to complete four years of mathematics and science, as well as a threeyear sequence in CTE.",Spanish,"Leadership  Support Skills, USA, Health Occupations Students of America HOSA, Peer MediationConflict Resolution, National Honor Society, National Technical Honor Society, National Thespian Society, Student Government Association, Teen Summit, Brooklyn Student Activity Council, Male  Female Mentoring, Young Men_s Leadership, Young Women_s Leadership, Teen Talk Artistic Photography, Advertising Design, Art, Music, Yearbook, Math, Martial Arts, Parenting, Cosmetology, Fashion",,"Dress Code Required White collared buttondown shirt, khaki or brown trousers or brown multicolored plaid skirt StudentParent Summer Orientation for incoming students Internship Opportunities",80000.0,30700.0,ESL,Open to New York City residents,,,,,,,,,
01M509,Marta Valle High School,Manhattan,2124738152,jbailey2schools.nyc.gov,9,12,"B39, M103, M14A, M14D, M15, M15SBS, M21, M22, M8, M9","B, D to Grand St  F, J, M, Z to Delancey StEssex St",145 STANTON STREET, MANHATTAN,NY,10002,www.martavalle.org,363,,"Marta Valle High School MVHS offers a strong program of academic and character development in the tradition of our namesake Marta Valle, a social worker, youth advocate, and community organizer. Our Core Values _ Respect, Leadership, Integrity, Diligence, and Service _ are woven throughout everything we do. Our academics are supplemented by electives in the arts. Our students can earn college credit at the City University of New York CUNY. MVHS is a place where _Educating Hearts and Minds for the 21st Century_ is a reality.","Advanced Regents Diploma CUNY College Now Masterybased Grading System Advisory program College Placement Office and College Advisor Statistics, Culinary Arts, Video and Music Production, Piano, Visual Art, Drama, Dance, Advisory, Fitness and Weight Training Studio, Technology Integration through Blended Online Instructional Model Media, Living Environment, and Chemistry Science Labs","French, Spanish","Model Peer Leadership Program, _The Vine_ Student Newsletter, Afterschool Program, Student Ambassadors, Animation, College and Career Fair, Family Night, Art, Audio Recording, Camping, Cheerleading, Chorus, Dance, Film, Gallatin Great Works Project NYU, Kaplan SAT Prep, Monthly Family Resource Fairs, MOUSE Squad, National Honor Society, Painting, Peer Mediation and Conflict Resolution, Princeton Center for Leadership, Recycling, Fashion Show, Songwriting, Step, Student Advisory Council, Sarah Lawrence College Student Interns, Lunchtime Cafe Clubs, Theater, Voice, Young Entrepreneurs",iLearnNYC Program for expanded online coursework and selfpaced learning,Students Dress for Success Summer Bridge to Success Program for incoming students in July offers HS credits Saturday Success Academy Regents Prep Onsite Placement and Referral Office for Summer Youth Employment Program Parent Resource Room College Trips  Tours and Free Application for Federal Student Aid FAFSA Application Workshops,80000.0,33000.0,ESL,Priority to District 1 students or residents,Then to Manhattan students or residents,Then to New York City residents,,,,,,,
03M402,The Urban Assembly School for Green Careers,Manhattan,2127871189,,9,12,"BxM2, M10, M104, M5, M7, M79, M86","2, 3 to 96th St  1, B, C to 86th St",145 WEST 84 STREET, MANHATTAN,NY,10024,www.uagreencareers.org,353,CTE School,"The Urban Assembly School for Green Careers UAGC focuses on Environmental Engineering, Horticulture, Energyefficient Building Design, and Energy Management. We seek students who are highly motivated, active learners. Students are expected to be inquisitive, innovative, and enjoy working in teams to pose and solve problems in all content areas. Through our challenging curricular model, Learning Cultures, students will participate in both Responsibility Groups and Unison Reading in every class to further develop their leadership, cooperative problemsolving, and written and verbal communication skills.","All students must choose a CTE program of study in either the Green Buildings or Green Spaces program. Both programs prepare students for college, apprenticeship programs and careers in such fields as Green Design, Energyefficient Building and Retrofitting for Increased Performance, Energy and Facilities Performance Management, Renewable Electric Power, Horticulture, Urban Agriculture and Landscape Architecture. Programs include workbased learning and internship opportunities. Program completion yields industry credential and certifications. Our college office provides careerrelated internships, careerplacement, summer learning opportunities, internships, college prep opportunities, and support CUNY College Now",Spanish,"Gardening, Green Team, Afterschool Tutoring, Central Park Sports, Latin Dance, GayStraight Alliance, Student Government, Video Game, Theatre Arts, Poetry Writing and Performance, Running and Fitness, Weightlifting",,"Academic Portfolio for assessment All students participate in summer learning experiences Participation in an internship or college coursework is required Internships with external partners Friends of Roosevelt Park, NYC Parks Department, AMNH, Grow NYC",83000.0,33000.0,ESL,Priority to Manhattan students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Manhattan students or residents,Then to New York City residents,,,,,,
03M403,The Global Learning Collaborative,Manhattan,2128771103,casillastheglcnyc.org,9,12,"BxM2, M10, M104, M5, M7, M79, M86","2, 3 to 96th St  1, B, C to 86th St",145 WEST 84 STREET, MANHATTAN,NY,10024,www.theglcnyc.org,496,,"At the Global Learning Collaborative, our goal is to place students on a path to college readiness and global competency. Weaving both ELA and History standards, our curriculum is infused with global themes. As such, all students are expected to complete a globallyfocused research project in the spring semester. We are able to provide our students with a breadth of academic and extracurricular experiences such as Model UN, Mock Trial Team, International Study and Travel, and Dual Credit CUNY College Now.","Small Group Advisories, ThreeTiered Recitation Program which includes Enrichment, Regents Prep, Credit Recovery International Study and Travel, Dual Credit CUNY College Now at Hunter College, Science and Technology Entry Program at Fordham University_s Lincoln Center, Free SAT Prep, Project Rousseau Mentorship program and Double Discovery at Columbia University","Arabic, Chinese Mandarin, French, Italian, Spanish","Model UN, Mock Trial Team, Cooking, Student Government, GayStraight Alliance, Journalism, Drama, Chess, Community Service, Yearbook Students are able to start clubs based on their own interests",,,83000.0,33000.0,ESL,Priority to Manhattan students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Manhattan students or residents,Then to New York City residents,,,,,,
